reference,candidate,score,ter_score,label
"bahraini princess marries us soldier , astonishing 5 year bond comes to end",bahraini princess marries a u.s. soldier ; astounding marriage dissolves in 5 years,0.3125,0.7692307692307693,0
"the star-crossed marriage between bahraini princess meriam al-khalifa and us marine johnson was once extensively feted on us television . however , it has come to an end in the desert gambling town of las vegas after only five years .","u.s. television stations had once feted the marriage between bahraini princess meriam al-khalifa and u.s. marine johnson . however , after just five years , this star-crossed marriage has already come to an end in the desert casino city of las vegas .",0.6531,0.5581395348837209,0
"meriam is a member of the gulf country bahrain's royal family . johnson risked his army career over their forbidden love affair , their fairy-tale marriage became the subject of a television movie .","meri gulf state of bahrain , the royal family members , who bear the risk of military career in this paragraph , as their marriage like a fairy tale , has become a video film theme .",0.3784,0.8108108108108109,1
"but the las vegas review-journal reported that after only five years , the couple is headed to the court after meriam filed for divorce in the gambling town known for its quickie marriages and even quicker dissolutions .","however , according to the las vegas , commenting on newspaper reports over five years , the court , the court , and will very soon in marriage and divorce faster gamblers .",0.3646,0.9090909090909091,1
the pair met in 1999 when career military man johnson was stationed in bahrain .,"the two met in 1999 , when johnson was still a career military man stationed in bahrain .",0.7778,0.3888888888888889,0
but his life changed dramatically when he met the beautiful teenage princess and the pair fell in love .,"after he met this teenage princess , the pair fell in love and his life thus changed tremendously .",0.7368,0.7368421052631579,0
"their union was forbidden by the royal family , so johnson disguised meriam in a flannel shirt and a baseball cap , forged her military identification papers and brought her out of her home country to america .","since the royal family forbade the union of these two young lovers , johnson smuggled meriam out of her country and into the united states by disguising her in a flannel shirt and a baseball cap , and forging her military identification papers .",0.6364,0.6590909090909091,0
"after a bitter immigration battle with us authorities , the couple finally married at the candlelight wedding chapel on the famed and glitzy las vegas strip when johnson was 23 and the bride only 19 .","after fighting a difficult immigration battle with the u.s. authorities , the couple was finally married at the candlelight wedding chapel on the las vegas strip , famous for its opulence . at that time , johnson was 23 , and the bride was only 19 .",0.6000,0.425531914893617,0
"however , johnson says that their star-crossed union comes to an end because of the temptations of the "" sin city "" of las vegas , the constant tensions with meriam's rich and powerful family and rumors of an assassination plot against him .","however , johnson stated that because of the many temptations in las vegas , so-called "" sin city , "" the continuous tensions between him and meriam's rich and powerful family , and the rumor of plots to assassinate him , this marriage , which had endured all kinds of hardships , finally dissolved .",0.5273,0.6909090909090909,0
"johnson says his work was to park the cars of hotel and casino guests while meriam was increasingly tempted by the nightlife of the gambling city , frequenting clubs late at night and ignoring her husband .","johnson said that he worked as a parking valet for hotel and casino guests , while meriam gradually got sucked into the nightlife of the casino city . she frequented nightclubs late at night and ignored her husband .",0.5128,0.5128205128205128,0
meriam abandoned her husband a year ago .,meriam left her husband a year ago .,0.8750,0.125,0
""" she's gone off the deep end , "" johnson says .","johnson said , "" she's gone off the deep end . """,0.9167,0.4166666666666667,0
this week's eurozone economic indicators to show continuous economic weakening in europe,euro zone economic targets this week will demonstrate the continued weakness in,0.2500,0.9166666666666666,1
